SITENAME,LAYER,COUNTRY,REGION,technocomplex,TC_ID,LEP,DATETYPE,LABID,C14AGE,C14STD,REFS,LON,LAT,quality
Vlakno cave,Stratum 5,Croatia,E,Late Epigravettian,OK,,AMS,Z-3932,11300,150,Cvitkusic et al. 2018 (QI),15.0302,44.03321,1
Riparo Dalmeri,14,Italy,W,Late Epigravettian,OK,ER3,non-AMS,KlA-3634,11260,100,see Naudinot et al. 2014,11.60222,45.99361,2
Verdi di  Pradis  R.I,1b,Italy,W,Late Epigravettian,OK,,non-AMS,F-85,11250,310,see Naudinot et al. 2014,12.9313,46.2358,5
Riparo Dalmeri,26e,Italy,W,Late Epigravettian,OK,ER3,non-AMS,R-657,11250,100,see Naudinot et al. 2014,11.60222,45.99361,2
Boila,horizon IIIb,Greece,E,Late Epigravettian,OK,,AMS,DEM-415-371,11173,453,Kotjabopoulou et al. 1997; 1999,20.658938,39.966382,1
Nugljanska pe?,6,Croatia,E,Late Epigravettian,OK,,AMS,OxA-X-2462-26,11160,50,Pilaar Birch- Miracle 2015,14.0054,45.42896,1
Pupi?ina pe?,207,Croatia,E,Late Epigravettian,OK,,non-AMS,Z-2636,11160,270,Miracle 2001,14.26367,45.35845,5
Savudrija,D,Croatia,E,Late Epigravettian,OK,,non-AMS,Z-488,11155,209,Malez- Poje 1976; Malez- Sliep?evi?- Srdo? 1979,,,5
Biarzo,5,Italy,W,Late Epigravettian,OK,,non-AMS,R-1850,11150,150,see Naudinot et al. 2014,13.4967,46.1322,2
Pupi?ina pe?,373.1 (Horizon U+V),Croatia,E,Late Epigravettian,OK,,AMS,Beta-145095,11150,80,Miracle 2005,14.26367,45.35845,1
Riparo Dalmeri,26b,Italy,W,Late Epigravettian,OK,ER3,AMS,UtC-6777,11100,60,see Naudinot et al. 2014,11.60222,45.99361,1
Blazi cave,2-3 (trench 5),Albania,E,Late Epigravettian,OK,,AMS,Beta-426508,11100,40,Hauck et al. 2017,20.01013,41.71206,5
Grotta Scaloria,Trench 8- Level 9,Italy,W,Late Epigravettian,?,,non-AMS,LJ-4979,11040,190,Linick- 1984,15.9167,41.6333,3
?andalja II,B/s,Croatia,E,Late Epigravettian,OK,,AMS,KIA-23489,11025,60,Richards et al. 2015,13.8967,44.8825,1
Val Lastari,3B,Italy,W,Late Epigravettian,OK,ER2,AMS,UtC-2041,11010,90,see Naudinot et al. 2014,11.354,45.7966,1
Riparo Dalmeri,26b,Italy,W,Late Epigravettian,OK,ER3,non-AMS,R-426,11000,115,see Naudinot et al. 2014,11.60222,45.99361,2
?andalja II,B/d,Croatia,E,Late Epigravettian,OK,,AMS,CAMS-12062,10990,60,Miracle 1995,13.8967,44.8825,5
Grotta Romanelli,D,Italy,W,Late Epigravettian,OK,,AMS,LTL17294A,10990,50,Calcagnile et al. 2019,18.493,40.143,1
Verdi di  Pradis  R.I,1b,Italy,W,Late Epigravettian,OK,,non-AMS,F-86,10970,290,see Naudinot et al. 2014,12.9313,46.2358,5
